participant,word list,Faster-Whisper-Large-v2_VAD
4010103,kaart1A, ijsboomdunrekriet saltspaalkuil netspuurbaklijn minjeukmou boorraamden baasmen boomzeep duifraar
4010103,kaart2A, klaar wens griep stom stomp langs draf klont darm snie krijt graag schraal sluit voort triest kran mast grint sleur troep blij mast glad en
4010103,kaart3A, opa rekening stralen fruitzee ochtend aanzienlijk lichaam stil complex lawaai zerst stiefzus kijkzuif opzettelijk
4010111,kaart1A, ijsboom dunderdek rietzoutbal lelmet puberbak leinwind jeuk wauw borf veenkoe bokraam tentbak baaskoe domdek merelboot zeekeer zoonpindel gaasman oomzeebeduif lijndoos luik rang haak lug eer kuurgas peul ruik zuurtuig kip elf zol riembot pan leeg rijphal wijsboog vee rauw hektaal heesdak saus jauw huis rot oen tas duik naam ton dooftaak vit
4010111,kaart2A, knaarwens grieps stomp langs draf klontdarm sleustrook krijtgraag strikwiel schraal snuit voort tries krant inkt slak maast rind slurf droep lei pols mast glad ernst klontdarm brief sneeuw brul troostplus wis balk opdruk spond zwaai goudtaart sponsblik trotskluis krant korst wand plooi licht kerk proef ster kruid
4010111,kaart3A, opa regenis stralend fruitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaairig uitrest stiefzus kijkcijfers minimaal tuinhek sterren en hemel briljant koker hengel vervolgens opzettelijk lietmachine ondanks wijsvinger natuurtalent axie racefiets
4010112,kaart1A, ijsboom dun rek riet zout paal kuil net puur bak lijn min jeuk maal boor veem koel wok raam den baas koel koel dom hek meel boter zeekier zoen pin doel gaas men oom zeep duiven raar piep rijn doos leuk ramp haak rug eer keur gaas paal peul rijk zuur terug kip uil zool riem boot pan weg rijp haal wijs hoog vee rauw
4010112,kaart2A, klaarwens riep stomp langs draa klomp draa darm sneeuw stroop krijs graag strikt film schrauw snuit voort vriest krans ink slak nast griep zwerf troep blij pols mast glad ernst voelt kunst stunt arm brief spreeuw bril troost plus mist balk dwijl rond kleinmerk stopdruk
4010112,kaart3A, opa rekening straalend fruit stil morgenochtend aanzienlijk licht deel complex lawaai heren uit rest trief zus kijk kijf minjauw tuinhek sterrenhemel koker hengel vervolgens opzettelijk niet magisch ontdanks wijsvrienden natuur tuur taart actief
4010115,kaart1A, ijsboom dun rep rek riet zout paal kruid met puur bak lijn min jeuk mouw bor veen koel wolk raam den baas koel koel tom nek meel bot zee keer zoet pim dol graas men zeep duif raar piep rijn doos luik ram rug
4010115,kaart2A, klaarwensgriep storm langs daf draf klont darm sneeuw stroop krijg graag schrik film schaar schraal snuit woord triest krans inkt slak naastgrind slurf droep bij plots hans mats glad ernst vlot
4010115,kaart3A, opa rekenen stralend fruit deelt morgenochtend aanziekelijk lichaamsdeel complex lawaairig uitstekend stiefjes keekswijzer minimaal tuinhek sterrenhengel prijtband koker hengel
4060102,kaart1A, ijsboom den rijk riet zout pluim klein net puur bak lijn bun jeuk mouw boer ven koel volk raam den baas koel donner meel bot zee krierson pindol gaas men mol raam piep rijn doos luik raam hek hurg
4060102,kaart2A, klaar wens schiep stomp langs draf klont dram sneeuw stroop kraag gedaag strikt vlimt scharel snijt voort triest kronst hinkt slak naast geen sleuf troep blij plons mast glad ernest vlonst stunt arm brief sprui bril trost plut mist blok de waal rond klein merk stop druk sproet haas speels de wijn moes mond zwijgen spons blik trots kluis mis pop wacht punt zwak broek frons bloem gerond
4060102,kaart3A, open rekening stra straliend vrij steelt morgenochtend aanzienlijk lichaam deel complex waar wie riegen uit de zus strief zus kijk schrijvers mien koeken hen natuurlijk
4060105,kaart1A, ice boat dun wreck reed salt salt pure buck lime mint yoke mall boar fane cool hawk ram den bass cool dom neck mill boat safe here soon ping dool gas men ohm zee dove raar bee rhyme doos luik ram haak rug eer keur gas pult reik zuurt trug kip elk zul riem bot pan leeg reik hal wijs boog vee rauw heek taal hees dak zaus jauw heus rot oom tas duit laam doof dum dak fit
4060105,kaart2A, klaar wens grieps tomp langs draf klomp dang sneu stroop krijt graag strik film schraal snuit voort triest krans inkt slak naast grieps sleuf troep lijp bos mast grat ernst vlot stunt arm brief spril hul troost plus minst mist balk twaal rond kluip merk stop druk sproet haast spil dwerg zacht smoes bom tezwijg grijns koors flauwt zaart spons blik trot trots kluis minst bom vacht
4060105,kaart3A, opa rekening stralend fruit teelt morgenochtend aanzienlijk lichaamsweer complex lawaaierig uiterst stiefjes kijkcijfers minimaal tuinhek terrenhengel briljant koker hennel vervolgens opzettelijk machine ondanks wijsvinder natuurtalent aanzienlijk razendviert minimaal mineraal soepel botsen beroemd kniaal
4060106,kaart1A, ice tree thinner carrot salt stick cow net pure box line man yoke mouse boar boar vein cow fox ram den bass cool dome neck male boat sea keir keir keir zoom pen dol gas owl soap pigeon rat peep rhino box le leuch ram hook back ear cure gas pa pearl rich sour back chicken owl sun rhino boat pan army rhino owl wise bow wwwflydreamerscom
4060106,kaart2A, klaar went schriep stomp stomp langs daaraf klompt darm snee snee snui stroop kwijt graag schreep film straalt voort driest krans int slapt naast greet troep blij volst maast glad ernst vlot stomp spreeuw mist balk dweil rond klee merk stop druk sproed haast
4060106,kaart3A, opa rekenen stralend vrui lichaamsdeel complex stiefzus kijkcijfers minimaal tuinheks sterrenhengel briljant koker hengel vervolgens opzetten lijk liedmachine ondanks wijsvinger natuur natuur natuurtalent die attentie
4200202,kaart1A, ice bone tun rek reet salt paal kuil net puur bak lijn min jeuk mauw boer veen koel wok raam ten baas koel ton nek meel bot zee keer zoen pint doel koel gaas men oom zep zeep duif raag piep rijn doos lij lijk raam haar haak rug eer keur gas peul puur rijk zuur terug kip uil zoen riem bot pan leeg rijn haar alf wijs
4200202,kaart2A, la wens riet stomp la langs draf plont darm sneu stok stroop wij krijp raag trik film schraal smuit vorst kraans inkt slak naast vriend sleur truif truf trub blijp bols maast glaat ernst blot stunt arm vree brief spreeuw brul
4200202,kaart3A, rekening stralend fruitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterst stiefjes kijkcijfers minimaal tuinhek sterrenhemel bril koker hengel vervolgens opzettelijk ontzettelen opzettelen niet machine ontdanks wijsvingen natuur
4200216,kaart1A, ijspoten rekadiet zoutpalken met puur baklijn mint jeugd melk por veen koel fok raam ten paas koel ton nek meel poot zee kier zoen pintel gaas men boom zee duif raar piep rijm doos luik ram haap rug eer keer gas bel rijk zuur teug kip uil zond riem poot pan leeg rijp hal wijs boog vee rauw hik taal hees tak zout heuw teun stot oen tas duif raam ton
4200216,kaart2A, klaar wens griep stomp langs straf klont darm sleus troop krijt graag strik strikt film schraal schraal snuit borst triest krans inkt slak naast gewind slurf troep blij bos mast glad ernst trots trot arm brief spreeuw bril trots plus mis ook dweil klont klein merk stop druk sproed haast speels dwerg zacht snoes punt zwij grijns korts flauw taart punt splik trots kluis minst pomp vacht punt zwak broek bloei graag korts wand bloei licht kerst krans grof
4200216,kaart3A, beginnbaar rekening stralend ruiktot morgenochtend aanzienlijk lichaamsdeel complex waaierig uiter stiefzus kijkcijfer minimaal tuinhemel sterrenhemel briljant koker hengel vervolgens opzettelijk niet magen niet leren ondanks wijfvinger natuurtalent ententie regenvlieg miniraals soepel botsing
4210102,kaart1A, icebomb dinerik rietz zankpal kaal net puur bak lijn min jeuk moudel boor veen koel wok raam den baas koel ton nek meel boot zeed keer zo zoon pindol gaas men om zeep duip raak piep rijn doos luik ram aak rukh eer keer gas pul rijk zuur teug kip elf zoel rien bot pan leeg rijp alwijs borg veen raal eer hiktal hees bak sausje jauw neu hees rot oen tas duik laan
4210102,kaart2A, klaar wens griep stomp langs draf rond darm snuiw stroop krijt vraag graag strikt film schraal snuit voort triest krans inkt slak naast grint slurf troep blij borst mast grat ernst vlot stunt arm brief spreeuw brul troost beplust mist balk dwaal rond klein merk stop druk sproed haast spult dwerg zacht smoes bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp vacht punt zwak broek frons bloei
4210102,kaart3A, opa rekening stralend vooruit teelt morgenochtend aanzienlijk lichaamsdeelcomplex lawaairig uiterst stiefzus kijkcijfers mini maal tuinhek sterrenhemel briljant kolker hengel vervolgers opzettelijk niet machine ondanks wijsvinger natuurtalent attentie razendfiets mineraal soepel botsing beroemd geniaal export honderd populair
4210103,kaart1A, ijsboom dun rek krijg zout paal platine net puur baklijn mijn leuk mevrouw veen koel volk dam den bas koel dom rek meel boot zee kier zoen pindoka gaas men oemen om zee druif raas piep rijn doos rijt
4210103,kaart2A, klaarpens pip tom langstaf klont dam nu stop zegt ga string filmschal streun horst stitsch klont int slang naast grint straf roep bij plont must gas ernst flot stunt vorm brief spreeuw de start plus mist spaar teil rund klein
4210103,kaart3A, opa rijk strand fruitstel monument magazine langsdeel compliment langs uits kijkschelder minimaal tuinhek tuinhek steen helemaal primant krokod hengel forst op negien werf natuurlijk zesti stulpen stoel bisschons
4210105,kaart1A, ijsboom bun rek riet zout paal kuil net vuur pak bak lijn min jeuk mouw boor veen koe dom nek meel rijn doos neuk raam haak rug eer
4210105,kaart2A, knaar wens griep stom langs eraf klont darm sneuw stroop krijt graag strikt veel schaal snuit voort triest kranst inkt slak naast grint slurf troep blij pols mast glad ernst vlot steun arm brief spreeuw rot trots plus mist balk dwel rond klein merk stop druk sproet haast spel speels dwerg zacht sloes bond zwaai grijns korst flauw taart spons blik trots keels
4210105,kaart3A, open rekening stralend fluisterend morgenochtend aanzijnlijk lichaam stil complex lawaaierig uiterst stiefzus kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuurtalent attentie reflecties minimaal soeplepel botsing beroemd lineaal alfabetisch explore export honderd populair verkeerd rietje hartelijk besmaatschappij neushoornig
4210110,kaart1A, ijsboom dunrek riet zout paal kaal net purf bak lijn mien jeuk mouw porf veen koel woon wolk raam den baas koel ton nek meel boot zee kier zoen pint doel gang gas men op zeep tuif raar piep rijn doos luik raam haak reug eer keur gaas peul rijk zwart touw kip ouzo riem bot
4210110,kaart2A, klaar wens griep stom langs graag loont darm snu stro krijt graag strik veel schrouw snuit treist krans enk slaak nast grint sleur troep glijp pols mast glaant eerst vol snut aardrief spiro prul trots plusminus balk terwijl rond kraai merk stopdruk
4210110,kaart3A, open rekening stralen vrije tel morgens ochtend zij lijkt lichaam stil complex leverig uiterst stiefjes kijkcijfers minimaal tuinhek stekrekenen briljant koker hoekel vervolgens opzettelijk niemand schijnen omdoks
4250105,kaart1A, ijsboom dunrek riet zout paal kul net puur bak lijm min jeuk mouw bor veen koel wook raam den baas koel ton nek meel boot zeek kier zoen pint dol gaas men boom zeep duif raar piep rijn doos luik ram haak heer rug heer keur gas pul rijk zuur tuch kip el zoen riem bot pan leeg rijp hal wijs boog vee rauw hik taal vees dak saus joop jep heup heus rot
4250105,kaart2A, griep stomp langs draf klont darm sneeuw stroop krijt graag strikt film schraal snuit voort triest krans inkt slak naast grint slurf troep blij pols mast glad ernst vlot steun arm brief spriel brul troost plus mist balk dwel rond klei merk stopt speels dwerg zacht smoes bond zwaai grijns korst flauw taart spons blik trots
4250105,kaart3A, opa rekening talent fruithild morgenochtend aanzienlijk lichaamstil complex lawaairig uiterstiefse kijkcijfers minimaal tuinhek sterrenhemel briljant koker hemel vervolgens opzettelijk niet machine ondanks wijsvinger natuurtalent atletiek racefiets minigang soep spel buitenzien beroemd lineaal alfabetisch export honderd populair verkeerd dank u wel
4250117,kaart1A, ijsboomtunrekrietzoutpaalkuilnetpuurbakleimienjeugmaalborveenkuwokraamdenbaaskuultonnekmeelbootzekierzoenpindolgasmenomzeeduifraarpieprijndoosluidkraamhaakrugeerkuurgaspuul rijkzuurkrugkipuilzoolriembotpanlegleeggrijphalwijsboogveerouwiktaal eesheesdaksaushuisrotoentasduiknaadooftaakritsainootlieskatluinreusnerek
4250117,kaart2A, klaar wens schiep stons langs draf klont darm sneu stroop kruid graag strik film schaal smuit voort triest krans inkt slak naast gint slurf troep blij pols mast glad ernstig vlot stunt arm brief spreeuw rul strot plus meist bal balk twijl rond klei merk stop druk sproet haast speel zwerg zacht smoes pont zwaai grijns korst flauw taart spons blik trots kluis minst pomp wacht punt zwak broek frons bloei graat koos wand plooi licht kers krent
4250117,kaart3A, opa rekening stralend fruitwild mors morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uitsterf stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant koker hengel vervogel opzettelijk nietsmachine ondanks wijsvingervinger natuurla atentie racefiets mineraal soeplepel postings beroemd lineaal afbeet export honderd populair verkeer rietje hartelijk busmaat hebbie neushoorn herheiling winkelwagen krist staafdingerham rijstveld autobus
4250204,kaart1A, ijs boom teun rek riet zout paal kaal net puur bak lijn min jui jeuk mauw mauw boor veer kieren zoen
4250204,kaart2A, klaar wen schriep stomp langs draf klont draam krijt graag strikt stringt film graal fort fort triest triest krans krans slak
4250204,kaart3A, opa reken ik straalend fruit teelt morgenochtend aanzienlijk liefstusje kijk cijfer minimaal vervolgens
4250205,kaart1A, ijspoten rekken zoutpaal kaal net puur bak lijn min jeuk mouw bor veen koel wok raam den baas koel dom nek meel boot zee kier zoen pin dol gaas men oom zeep duif raar piep rijn doost luik ram hakerug eerker gas puil rijkzuur tuig kip uil zul riem bot pan leeg rijp sjous jouw huis rot oen tas duik laan dol doof taak fit zijn nood lies kat luieruis neer gek raak wijs geel rook lol geit zes boer buit bees kei vuur hap dik vier kous vaas pup roes gaap bal zoon lauw doof
4250205,kaart2A, klaar wens griep stomp langs straf klont darm sneu stroop krijgt kraag strikt film schanaal snuit voort triest krans inkt slak naast gerind slurp troep blije pols mast glad ernst vlot stunt arm brief speel bril troos plus minst balk dwijl rond klei merk stop druk sploed haast speels dwerg zacht smoesje bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp vacht punt zwak broek front bloei kracht kort wand plooi licht kerst krent proef ster kruid pracht twaalf sla wild kaft paard spreeuw winst blok stier sneeuw herfst paard draad
4250205,kaart3A, opa rekeningstralend fruitsteelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiterust stiefjes kijkcijfer minimaaltuinhek sterrenhemel briljant koker hengelvervolgens opzettelijk niet machine ondanks wijswinnaar natuurtalent racefiets mineraal soepel botsing beroemd lineaal alfabet export honderd populair verkeerd rietje hartelijk maatschappij neushoorn herhaling winkelwagen kritisch
4250211,kaart1A, ijsboon dun rek riet zout paal kuil net puur bak bak lijm min jeuk mouw boer veen koel wolk raam den baas koel dom nek meel boot zee keer zoen pindel gaas men oom zeep duif raar piep rijn doos luik ram haak rug eer kuur gras peul rijk zuur trut trug kip elzel riem bot pan leeg rijp hal wijs boog vee rauw hik taal hees dak saus jauw heus rot oen tas duik laan tol doof taak wit zijn nood lies kat lui reuzen neer gek raak bijt geel rook lol geit zespoor buis beest kijf vuur hout
4250211,kaart2A, wens griep stomp langs draf klomp darm sneeuw stroop krijt graag strik film schaal snuit voort triest krant inkt slak naast grint sleur troep blei pols mat grats ernst vlot tun arm brief spreeuw bril troost plus mist balk dwel rond klep klein merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korts vlauw taart spons blik trots kluit minst pomp wachtpunt zwak broek frons ploei gracht korts wand ploei licht kerst krent proef ster kruid pracht twaalf sla wild kraf paard speer winst blok stierk
4250211,kaart3A, opa rekening stralend fruitteelt morgensnochtend aanzienlijk lichaam stil complex lawaaiig uiterst stiefzus kijkcijfers minimaal tuin hek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvinger natuurlijk talent attentie racefiets mineraal soepel botsing beroemd lineaal alfabetisch export honderd populair verkeerd grietje hartelijk bus maatschappij neushoorn herhaling winkelwagen quiz schaart diagram reisveld autorit prima stedelijk
4260104,kaart1A, ijs boom dun drek riet zout paal kuil net puur bak lijn min jeuk mouw bor veen koe wok raam den baas koe dom neck mil boot zeef kier zoen pindol gaas men oom zeef duif raar piep rijn doos luik ram haak rug eer keur grat gas peur pool rijk zuur zur teuf kip uil zool riem bot pan leeg krijp hal wijs boog wee rauw hik hees dak saus jouw heus rot oen tas
4260104,kaart2A, klaar wensen riep stomp langs dat draf klont dram sneeuw stroop krijt graag snikt strikt film schrauw snuit fort tries krans inkt slak naas grit slurf troep blij plons mast klat ernst vlot stunt arm brief spreeuw brul troost plus mist balk dwel rond klei merk stop druw druk sproet dwerg zacht smoes bond zwaai grijs
4260104,kaart3A, opa rekening stralend fruit fruitteelt morgenochtend aanzienlijk lichaamsdeel complex lawaairig uit de terst stiefzus kijkcijfer minimaal tuinhek sterrenhemel briljant kokker hengel vervolgend opzettelijk niet machine ondanks wijsvinger natuurtalent actie racefiets miniraal soepel botsing beroemd lineaal alfabetisch export honderden populairden verkeerd rietje hartelijk busmaatschappij
4260106,kaart1A, ijsboom dun rek riet zout paal kuil net puur bak lijn min jeuk maal bor veen koe volk graan den baas koe dom nek meel boot zee keer zoen pindel gaas men oom zeep duif raar piep brein doos lijk raam haak rug eer keur gaas pijl rijk zuur teug kip erzol riem boot pan leeg rijp haal wijs boog veen rauw hik taal hees dak saus jauw haus rot oen tas put tol doof taak vit zijn nood lies kat luik neer gek raar bijt geel rood
4260106,kaart2A, klaar wens griep stomp langs straf klont darm neus troop krijt gracht strikt film schaal snuit voort ries kans in slak naast ginsleur troep blij pols mast glad ergst vlot stunt arm brief spreeuw bebreul troost plus mist ballen twijl rond klei merk stop druk sproed haas pijls twerg zacht smoes don zwaai grijs borst worst flauw taart spons blik trots kluis pins pomp wachtpunt zwak broek broekfonds bloei graagd korst wan want
4260106,kaart3A, opa rekenen stralen het fruit heelt morgenochtend aanzienlijk lichaam stil complex lawaaierig uitsterfstiefse kijkcijfers minimaal tuinhek sterrenhemel briljant koker hengel vervolgens opzettelijk niet machine ondanks wijsvingen natuurtuin authentisch rijken fiets racefiets generaal soepel botsing beroemd lineaal afstaanbied export honderd populair verkeerd rietje hartelijk busbaarschapperij na neushoorn verhaling winkelwagen kritisch strafdiagram rijstveld oerrit primaal stedelijk duwen helling aardgas
4260107,kaart1A, ijsboomdunrekfietsuitpaalkuilnetpuurbaklijnminjeukmaalborveenkoolwokraamdenbaaskooldonnekmilbootzekeerzonzoenpindolgaasmenoomzeepduivraarpieprijndozelijk leuk ramhaak rug eer kuur kuurgas peel peel rijk zuur trug kip hal wijs hoog vee rauw vees dak saus jauw heus rot oen tas
4260107,kaart2A, klaarwens griep stomp langs straf
4260107,kaart3A, opa rekening talent fruitteelt moorgerster stiefzus opzettelijk niet machine vingersvinger natuur
4260113,kaart1A, ijsboon deun rek niet wiet zout paal krul net puur bak lijn min jeuk muil bor veen veen koel wolk raam den baas koel dom nek meel brood zee keer zoen pin dol gaas men oom zeep duif raar piep rij doos luik ram haak rug eer puur gas pleur peul rij riem boot pan leeg rijf hal wijs boog hee rouw tel
4260113,kaart2A, klaar wens griep stom langd draf klom drang sneu stroop kruid graag strik veon schaal snuit vervorst triest krans inkt slak naast grint slurf te roep plei plots mast glad
4260113,kaart3A, opa reken reken stralend fluitdeel morgenochtend aanzienlijk lichaamsdeel complex lawaai reiterst zief stiefzus kijkcijfers minima vervolgens opzetten wijsvinger naturale achttien
4260114,kaart1A, ijs boom blum lek riet zout paal karrel net puur bal lijn meen jeuk maal koel rook zaan bes baas koel dom nek mijl zoen been dool rug eer kuur gas paal
4260114,kaart2A, klaar wens griep stomp langs drap afklont daarn sneeuw stroop krijt graag strikt film schraal snuit voort striet klans inkt slang gerind sluur verloot stunt aard berief spreeuw glij merk stop draai sploed
4260114,kaart3A, verpaal rekenings verhaallijn verduidsel moor plasfiets minnaar
4260115,kaart1A, ijsboom dun rek riet zout paal kruil net puur bak lijn min jeuk maal bor veen koe wolk raam den baas koe don nek mil boot zee kier zoen pindol gaas men oom zeep duif haar piep grijn doos luik raam haak rug eer keur gas peul rijk zuur terug kip uils zoel riem bot pan leeg rijp hal wijst boog vee rauw heek touw hees dak saus jouw huis rood
4260115,kaart2A, klaar wens riep stomp langs draf klonk daan sneus strook krijt kraag strik film schaal snuit vorm kries kras ink slak naast grint slurf troep blaai bos mast glas erst flot stunt arm brief schreeuw brul troost plus mist bak dwijl rond klei merk stop druk sproed haast speels dwerg zacht smoes bond zwaai grijns korst flauw taart spons blik trots kluis minst pomp zacht pont zwak broek vonst bloei gegracht koot wand plooi licht ergst krent
4260115,kaart3A, opa rekening talent fruitdeelt morgenochtend aanzienlijk lichaamsdeel complex lawerig uitderst stiefjes kijkserfers miniamaal tuinheks sterrenhemel briljant kokerhemel vervolgers opzettelijk nietmachinen ondanks wijsvinger natuurtalent actie racefiets miniaal soepel botsing beroemd indiaal afbex export honderd honderd populaar verkeerde rietje hardelijk busmaatschappij neusgewoonherhaling
4410104,kaart1A, ice bone dune wreck reed salt pale coal net pure buck line min yoke mow borch boar vein cool wok ram den bass cool dom neck male boat say keer soon pin do gas man ohm zeep dove raar peep rein doos luik ram haak rug eer keur gas pul reik zuur tru tur zoel zoel rim bot bot pan neef reip haal wijs borch vee heek taal hees staus jauw heus rot
4410104,kaart2A, vlaar wens schiep stomp langs draf klont dan snui lus mist balk twijl rond klein merk stomp druk sproets haast speels dwerg zacht moes smoes zwaai grijns korst flauw traa
4410104,kaart3A, opa rekening stralend fruit deelt morgenochtend aanzienlijk lichaamsdeel complex lawaaierig uiter maschine huisvinger natuur
4410107,kaart1A, ijsboom doen rijksgids zou bakken het vuurbak lijn mijn jeugd mouwboer vinkoe rokraam den baas koeldom mekmel mel bootseker zoen pindoren mijn oom zeep duifraar piep rijntoos lijk raam hakeren weerkerker gaspelrij zuurteg kip uil zol ruim boot bad pan licht rijp haal wijs boog wil wou hiktal hees dak saus jauw heus rot een
4410107,kaart2A, klarenwens schriep stonden langs de klont klont hoe snel is het droog krijt graagst strikt film schaal schaal snuit frots trits kraans inslag naast grinsle troep blaaie pols maast glad ernst vol mist balk duwen zacht smoes pont spons
4410107,kaart3A, opa rekening starten wassen mochten aan ziekenlijk lichaamsdeel complex leiden aap aap aap aap aap aap aap koker hemel ga maar verder bij tien probeert maar gewoon nee ik kan niet tellen uiterst daar het is een minimaalte opzet niet machine dankzij wijsvingers natuurlijk ook serieus meer dan normaal
