participant,word list,Wav2Vec2.0-CGN
4010103,kaart1A,ijseboom dun rek sa rit soutspaalkuil net puur bak lijn min jeuk mel boor feen coa koe wok raam den bas koek dom lak mil boot c tier zon zon pin pin dul gasgas men oom cep duif raar piep ren ruim doos luik ram haak terug dee rug rug eer kun keur gos pul buinen rijk zuur teug kip el sul sul
4010103,kaart2A,klaarwend schriep stomstomp langs draf klomt darm snie stroop krijt graag strikt vilm scheschaa schaal snuit vort drict kram krans inkt slak naast grint sleur troep blij pools mast mast glats enst flot sutstent arm brief sprei spreel brul trouwst plus mest babk dueil rond krei merk stop druk sproet hast speels dwerg
4010103,kaart3A,opave kenning staemde fle freeelt dor burg en ochtemd uhn sein ahncinlek lichaamen steel complec complex lawierg uit uiterst stifzus kijk sefes m tuhek ste ster hemel bre vildigant ko koker hingel verfolgens opzetelik iet niet main ondanks vijf vee ger nakutal
4010111,kaart1A,ijsboom den rek liedzel bepaalde rel met puerbak lijn win jeuk wol bor veijn koe bokran te ten ba baskourdordek berel bozee kierzo zoon pin dor ggaa gaasmen oom oom ceepduiveraar biepezea lijndoos luik ram haak rug eer kuurgas bul ruik zuur tuinkip els zuh ribotban lege rij rijphal wijsboog vee rouw hektaal heesdak saus jouw huis rot oen tas duik naam ton de hooftaak fit
4010111,kaart2A,klaarwens grieps stomp langs draf kloa klondarm sleufstro krijt graag strikwilm scha schral snuitvoort de lisku krant inkt slak naast lint sa snurftroep bli pols mast glad ernst flot dent arm be blief sa sneeuwbrul ter trouwsblus i g balk dwel romd klei berkstop druk spa ssproet hast sspielt de werg zacht smoes bond s zwijge grijs korstflautaar sponsblik trotskluis minst opsvacht punt punt zwak beo brots boei at koorts want plooi licht ces cerd proefsterk kruit racht
4010111,kaart3A,opa regen es stralend voruitteel morgenochtend aanzienlijk lichaamsdeel complex wawaeig uituitgea uitrest sstiefses kijkcijfers mini mou tuinherk sterren ren hemel eh reljant konker hen heng hengel vrgevolgens op opzettelijk litmachine onte onder ondanks wijsweger nanatuurla natuurtalet ak kse leskit mimni min el s soep soepel
4010112,kaart1A,ijsboom dun rek riet zoutpaal kilnet puurbakkerijen min jeuk m mou boor seen koe hook heram den das kol koa ke dom hek meelbotezee kierzom zon pin dolgat men o oom zeepduiven raa piep een rijn doos leuk ramp hè haak trug eer kuur ga gas ba bul rijksa zuur terugkip il zo uh rien bo pan weg gijf haalwijshoog zee rouwen
4010112,kaart2A,gwar wens riep tomp lang s dera kromp der dar sneu stroop karijs geraag strikt film gral snui vort fiest krant ink sak nast griep suerf te roet belei pols most gwat ernst polt krust stunt arm berie spreeul bril het troost plusmist de balk dewijl rondkaleijm merk stopdruk
4010112,kaart3A,alpa rekening stel stralend fruits steew morgenocht en aanzien k lichts del umprek lwi rig uh uit uh lest diefzus pek pever kijvers mi mnaal tuimen hek sterrenhemel briljand koker hemel vervolgens opzettelijk niet meer kies ontdanks wijs vriemdek natuurlijk natuur tan atif
4010115,kaart1A,ijsboon den rep rek riet zout paulkruit net puur bok lijn min jeuk mou boor feen coe wolk ran den bas coe cool tom nek mil boot c g kier sut zun bim dol graa graas men on zeep duif grar piep rein reindoos luik ram rug
4010115,kaart2A,klaar wens griep stoorm langs dof draf kt klomt dorm sneeuw stroop krijg je graag chelik strikt film scchu schrauw snuit woord triest krons inkt slak naast grint slerf troe bij plots hant mats glat arnshtv fol flot
4010115,kaart3A,oparekenen stralnd stralend fruit teelt morgenochtend aan chikelik legams del complex ja en a wijerig uitstekend stiefses kik ze skeekzeger minimaal tuinek sterv reelv breiband kok koken hengel
4060102,kaart1A,ij is bomdunge rijk ried zout plalkleijn met puur baklijn un jeuk ma bo ven ku vok ha derd pas kon tn net melbot zeker geen zoon men dongas met mo om iep di ra piep rijndodoos luik raam hak roch ier keur gas n rijk zuur teg kip eén zijn ribotborik gjp hal wijsboog fenuga hik tol hesdok saus jouw hes hoord un tos dijk lan to dijfta vet sijn
4060102,kaart2A,klarwengeestomp langs draf kwond dram m sneeu stroop traag graag strikt vlim schagel smuit vort trist krunst hinkd swat mest gheem tlef troep blij prons mastgot engnist von stuntan brif sprei drul trrost pletemist blo de wal de hondklei merkstop derke sproed haspeels de de weig zacht smoes monzelijngeraad korte flow taartespos blik trots clismins pop vacht punt zwake broek vooa vrons bloem glont
4060102,kaart3A,oparekening strat strat geiend vrijt steelt mogen oochtenten aanzienlijk lichaamdeel complex wa wierigen uit det stief zus drief zus kik schijvers i mnima tuinhestegen hele mow bril jons koeken henkol vevogens opzentinlijk nietmachine ondijkste levinger natuik talent at ante ti refi fitsen mirira soepel bobti
4060105,kaart1A,ijpoden rek riet souttaal e net buurbaklijn min jeuk moubor veenkoel hok jan den paskor dom mek nelbod e eson ping dorgas men koom e zeetuif raar die reijndoos luikramhakleureerkleur gasbulp druikzuur terug kip al sol renbo bod ban lef rihalwijsbog v rao hettaal hees da sous jouheus rot ontas duiklaan dor dooftan tak vi
4060105,kaart2A,klaar wens griep stomplangs draf klom dang neut stroop krit graag strikfilms schraal snuit vol vort triest krans inkt s slak na naast grin slof droelaipos was grad ernst glotstunt arm bries bril brul trost blus mins mist balk twaelk rond klui merk tokdruk sproet haast i veel de werg gezag smos om te swij garijns korse flaut saartsbonsblik ro rotkluismins on bacht
4060105,kaart3A,opa nrek kunnin stralend fruut fruit teelt mora morgenochtend aanzienlijk lichaamsheel complex laweirig uiters stiefsbers kijkcijfers minimaal tuinherk us terren hemel bril jaunt ko kopkoker hennel vervolhens copsettelup die k mag zoen mor ondanks wijs vinden natuur talent a ou tuu et e t razen feest mnemat mine ral chopo potsin beroemd deniel oh
4060106,kaart1A,ijsboom dunne rekh rit zoutpelkrui net purenbaklijnmin jeg melbour boorn veen koe vook ran den bas ko dor nek milv bultv s kir ker ker zun tn do gas men onzepen duif raag piep rijn dos luluik ram hakenrug eer tuur gas pabul rijk zuut treh kip el zoon riem botpan legeri deriep helvijs boog
4060106,kaart2A,klaar wendgriep stom stom langsterag klomt darm ene snee sne stroe kreit graag schrek veel straalt snuit vort triest krant int slap naas fried sneuf troep blij kols mast glad ers flot stont er brief sn sbril parago troots pluis mies miest bolk drel rond kle merk stop deruk sproet hast
4060106,kaart3A,opa re rekenen stra sralend fr fla fra ruite morgenochtend aanzienlijk lichaamsdeel complex a loeierig ui uit erste stief zes kik cijfers livimal tuin hek sterren hendel bril jant koker hengel vervolgens opzetten lijk niet machina ondanks wijsvinger atnatuurlijk natuurtalent atuhsie attentie
4200202,kaart1A,eikboonden rek hiet zout baal kuin net puur bak lijn nin jeuk ma de boer oteen coe vo ram den baas kour ton mek mel bot d kerjun dendol och gas men on se seek duif ra biek rijndoos wij wijk gaam hharug rl gasbee beur rijk sur trus kip ul zo in botebanwee alwis
4200202,kaart2A,slas wen rit ston la langs tra lond tarm nee stochstroop neri trik film sh mi de vort trist g krans int sclak m vrind leur trei truf rpe dle bols most got erenst got zo stunt anvreie een brief sbrel bril
4200202,kaart3A,rekening stralen fruitdeelt morvan ochpund aanzienlijk lichaamsdeel comprec e teuituitest stoi stiefzus difus kijk kijk kijk cijvers minimaal tuinherk teen hemel brilland kok koker henel verfulfens hopseteluk onzettelen opzetteo niet de marchina omtouns vrij te vinden omdat de
4200216,kaart1A,meisje potort en ja rike die sout pale wer gadae lent o buur obak nij meejeuk maar ook a boor vee koee soto ran oen ar daar en col dun ne on milloot ceogkier sun u l ie dol gaso en jo om see duif daar lierin doos nacarsom g haap rug hier zuurtine gas bil ijk suur de n gim ijl solt riem boot ban leeg ii ol bij bog ve rol hit taal hes dal zou zig jou b o tot on tas tuinlaan tolde
4200216,kaart2A,kaar wens griepston langs n rag klont dormsreusopkrijt graae sdreven o strikt a hel schrauwer waarom nou gedrou sneu olle o risch cros inkt n slot ka daas en gon in slurf troeprij pols most glotten erols old arm brief sbril brilrots blusmes maar ook twe gerond mar klein merk stoponderen zom roet haast speels twede gzachte smous bont zwij grijn corsflauw ters pon plek trots kluisminst bomvahtben zwabrok ansbloei graat corse ondbloe leeg kerst crent tof
4200216,kaart3A,g wie olstanle to o vrij al et morgen nogt e at as zienlek olichaamsdeel corplex holo i om bi er eg gewan es uiter e o at was diefze om gaa kijk zeij voeken gaut ni ni melke tuin he olkaar voor jo sterrenemo han bril jo hard en oe kokers hengel ntetengolgens ozettdag leuk eh nat zon mag hè outo kin n ja dan komt dan ook ze voore or meisje a wee a dat duurt al e o van tan ze reken fit inias sou o souvol botsing
4210102,kaart1A,heisbal dendagrek rin tza pal kul net puur baknijmen jek mou dorboor veen coul wolk raam den mas coul ton nek nil bot z de ker zo on pindo gasmen omzeep duifradpiep krijn doosluik ram ak rug er tier gas dol rijk zuer teug cip el zoul geen bot band lefe gijp halrijsburg veek gal en hik tal hees dak saus je jou ne hes rod uen tos douknaam
4210102,kaart2A,laar wensgiep stond larms dra grond darsleun stroofkrijn gra grag strikt film schraw snuit voor triest krans inkt slak naast grin grint sler troe blij bols mast got ernst flotstent armbrefsbril brultrons b plus nist balk twaal rondkleinwerkstop druk sproet haast spilf deweg zachte smoes bond z grijnskorst fnoutart sbonsblik trot klaus linspomp acht punt zwak broe vons b
4210102,kaart3A,opa week inin stralt verruitdeelt morgenochtend aanzenlijk lichaamsdeel complex newireg uitre uiterst stiefzus kijkcijvers mini mal teinhek sterem hemel bgiljons colker heenlol ervolgers opzettelijk nietmagine nietmachineondanks ws wijsvinger natuurtalent a atenti rasene fiets mineral soepel bosin beroemd yunial ofe betigsexport honderd popular
4210103,kaart1A,santen ik so xn net puur bak ne mar inluik wara boor fijn oe vook dam en bas horu don e bo segir zoen indoa gas men o en om z draf rai zin gos u
4210103,kaart2A,naar ans ip ton langs taf lond dan ne t zegt g in fim um tit rand inlang naast rind dedag le bi bun mot haenfat stunt vam rifsve u mi dar vont lin
4210103,kaart3A,oparijke sstrant attel mentem ahintelcomplment lang uk kuik net nen m enhek tunek sten helemaal zinmand gerokerd en uh wast po niks een was maar natuurtoh zesti oa
4210105,kaart1A,ijsban din grek rit jous pal kul net ur pa bak de nijn min jeuk mel bor veen toe hoek gren nbas koe don mek meel boot c kier don bin dol haat mem o c vijf rat iep rijn doos neuk raam haakbrug eer ker gas bil rijk zuur teh kip el ul rin bot ban tleg ri ha lisbulg v raalhik taal hees
4210105,kaart2A,darm wems grik stonlouns deraf klot darm slestro kreet graag strict vilm schral smeit vort triest krans ins slak mast grint sluf troep blij pols ma magst glaat ernst vult steen arm brintspril rotrots plush mist dalk wel rond klein uergt stop druk spult haast spel speels duerg zacht snoesbond si grijn scors flouw tart spons bilik trot tils
4210105,kaart3A,open rekening stralend fluis fluisteelt morgenochtend ean aanzijndelijk lichaamstel complex lawaairig uiterst sdiefzus kijkcijfers minimaal tuingek sterren hemel brel jant kulker hengel vervolgens opzettelijk nietmachine ondanks wijsvinger natuur natuurlat natuurtalent etentie reflecties mini miner minumel soeplepel botsing e rund linea alfabetisc explo export honderd populair verkeerd riedje hartelijk o busbusmatschaa dusmaatschappij neusgewone
4210110,kaart1A,ijsboom de dunrek za ririet zoutbal kaul met puurbak lin min julk mal por veen conbon wook ram den barskool ton nek neeul boot zee kier zoon bedoel gan gas min mijn op zepe duif ear piep rin doos luikramhak hak reug eerkeurgasb rijk zurte te t cip uo re rem bo bot
4210110,kaart2A,klaar wens griep stonlantralond darm sn snu sgre krei t graag strik veel schaw snuit treist krams intslaap na ast grientslepsler troep fleypols ma mast gegrand eerst po ne senet armbi sperel brul trots plus menes bauk te de wel rond kr kri merk stop terug
4210110,kaart3A,oparekening stralen frijtel morgens notend ren ochtend ohz lik lichaamsteel conple ek levarig uit uit erst stivezus stifsus tijk cijver cijvers mi min ni mah tal tounhek stek re ek heimel bre brant konker hon kal vervolgens o opzettenlijk nieman hen schijnen omde
4250105,kaart1A,ijsboom dunrek ried soutpaal kul net puurbak lijnmin jeukmou borveen coe wook raamden bas koel tom nek mel boc kirk zon bindomel gas men oom cpduif gaar piep hijn doos luik ram haak heer ik rug hea eer keurgas pul rijk zuur tug kip kip el zoon ream botbaa pan leegrijp halwijsboogvee uhrauwhik taal hees dak saus jo ja heu heus hor
4250105,kaart2A,laarwens griet stond langs draf kua klontdarm sneu stroop ga krijt graag strikt film raal snuit voor t triest krans inkt slak naast grint slurftroep blij pols mast glad ernst vlot steun arm brief spriel brul troost plus mest balktwel gond kleimerkstopdruk sproet haast spiels twerg zacht smoes bont swai gijns koa kost sla flauw taart spons blik trot
4250105,kaart3A,opa rekening tralent fruitilt morgenocht morgenochtend aanzienlijk lichaamsnieuw complex lawairig uiterst sdiefsus kijkcijfers mini minimaal tuinhek ster sterrenheeme broeiant koker hemmel vervogens opzettenluk niet machine ondanks wijsvinger natuurtalent aptelenti hn greesfiet miner gans soepbel buutsi beroemd junijaal alfabectis export honderd populair verkeerd ver
4250117,kaart1A,ijs boon dunrek rietzout paal kui met buur baklin min jeuk me mau hoorveen koe wokhaam den ba bas koeljeton nek meel c boot c kier zoen pin dol gaas men om zeep dijf raar piep vrai doos luit ram haak ruha er kuur gas geun rijk zuur terug kip uit t soe riemmotpan leg leeg gerijp hal wis boog ve rouw hek taw ees heesdak saus heuis rot oen tasduik daan d oofuh taak wet zijn nood lies kat lui munde reus neer leg
4250117,kaart2A,e klar wen schiep stons langs draf klomt darmsneus stroop krijt vraag strik veelmschouw snuit voort triest krans inkt slak naast gind slerf stroep bi blij pols mast glad ernstig fun vlot kstunt arm brief spreeuw brul strots plus meist bal balk twil rond klei merk stol truke sprouten haas spel werg zacht smoes bond swai gijns korst kors slauwtaart sons blek trots kluis kluis menst ompvachtpunt zwak broek frons bloei gracht koost want plooi ligt kers krend
4250117,kaart3A,ope rekening stralend fruitelt mors morgenochtend aanzienlijk lichaamsdeel complex lawaierig uitsterf stiefzus kijk ze even een minimaal tuinhek sterremop briljant koker hengw ver vogel opzettelijk nietmachinen ondanks wijsvigervinger natuurlij a atenti resfit min mineraal soepleper bostings beroemd lineaal afafbet x export honderd populair vekeer ritja hartelijk busmaart hetdi neushoorn herheiling winkelwagen krist staafdingenram ristveld auto
4250204,kaart1A,ijs u boom den rek riet zout baul kal net buur bak lijnmia min jui jeuk mou mou koer ekoel hook raam ten bas koel ton nek neel oce girie kir un pin dol gras men omes heet duiveraark piep rijn dooslijk van hon honhan rug eer kur gras
4250204,kaart2A,klar wenschie stomp lonsdraf knomd dram arem snuiu storm storp krijt glaag streek stredin srinkt film geglauw snet snuit voort vort tristrist ks krans één s énk sclak nal mas grens uh schlurf troep lei ons mast glad er nu er nast vold sskim a
4250204,kaart3A,opa reken ik stag stralend fruit teel friitels morgen morgenochtend aans aanzienlijk lichaamsteel sumplex ij en war wijreg uit rest uituhstiefzussen kijk schijven kijk cijver minimal tuinhek sterren hemel bria brin jantbriljant h koker hengel fert ofv schon vero ge vervolgens vervolgens
4250205,kaart1A,ijsboon duen rekken zoutpaal cul net puurbak lin min jeukmou borveen coe wok ram den baascou dom nek mal botc kiersoen pin dol gas men oom zeep tuiveraar pieperijn doost luikram hakrug eerkur gas puil rijkzuur tuilg kipil su rin bot pan leegrijp hal wijs boog ve rouw hik taalgees daksous jouw heusrot oen tasduiknaan tol doof taakvit sin noot liskat luireus eneer gekraak bischeelroklol geit ses poorbuitpees ki vuurhap dik vier kousvaas pup roes gaap re mat bal jon lauw os gaaf biet maa
4250205,kaart2A,klaar wenschiep stomp lang sdrafklomt datet sneustroopkrijgt uh kraag strict film schraal snuit fort tristkrants ingslak naastgrind slurftroup blijepos mastglad ernst flotstunt armbrief speel bril troos plus mins balk dwijl rond klei merkstopdruk sploed haast sspeelsdwergzacht smoes bond zwaai gerij grijns korst flauw tart spons blik trotskleusemins de pop pomp v vachtpunt zwak broek front bbloei kracht s koort want plooi licht kers krent proefsterr kruitbracht twaalf sla wild kaft paardspreew winst de blok stier sneel herfst
4250205,kaart3A,oparekening stralend fruitsteelt morgenochtend aanzienlijk lichaamsteel complex lawierig uit uit de rust stiefjes kijkcijfer minemaaltuinheksterren de hemel biljant koker hengel vervolgend opzettelijk nietmachine ondanks wij svinnen natuura natuurtalent m uneti o ma do res fiet mineraal sopo botsing beroemd en n liniaal off of besa ofabet j eksport honderd populair verkeerd richer hartelijk bus at schappenij aschappij ne is gehooren herhaling winkelwagen n kuitisch
4250211,kaart1A,ijsboondunnig rek riet zoutpau pelnes puurpah bak lei minjeuk mau boveen cowolk ramden baaskoe dom nek meel bot ce kierzoen pindog gaasmen oom ceep dijf raar piep rijn doos luik ram haak rug eer kuurgas peil de rij zuur trua trug kip alsogehin bot pan legerijp hal weiesboog ve haa rouw hiktaalheesdak saus jouw heus rod oen tas duiklantor dof taakvit zijn not lieskat lui reuse neergek raak bijtgil roglogheit zes porbuit beesch tijvuur
4250211,kaart2A,klaar wens ggriepe stomp langstraf klomp darm sneu stroop prijd graag strik veel schaal m snit vorttriest rand inka slak naast grint slurf troep blij polsmatsgrat ermst flotstun uh arm brief spril bril troost blus mestv bouk terwijl rond klea klein merg gstopt drug sproed haast speels twergzachts mo smoes bontzwigrijns korts uh flauw taartsponsblik trotskluits minspom vacht punt zwart broek fon bloei gracht kortsvwant ploi lichtkerskrent proef sterkruit pracht twaalfe sla weeld kracht paard spir wins blok stierk
4250211,kaart3A,opa rekening stralend fruitelt mors snochtend an zien lek lichaamsdeel complex lawaaien weg uiterst stifsus kijkcijfers minimaaltuin hek sterren hemel briljant koker hengel vervolgens opzettelijk die machine ondanks wijsvinger natuurlia tarumt at en atensie uh gresfits minum minerel supel botsing beroemd linial os t o bet i exportv honderd popopulair verkeerd grietje hartelek busmat happerij neushoorm herhaling winkelwagenkrits schar diagram risveld auto rooa rorit prima steet leuk
4260104,kaart1A,ijsboom dun lek riet zout paal kuil net puur bak lijn min jeuk m moul boveen koe wok de raam den baas koe dom nek mil boot ze kierzoen pieng dol gaas men oom zev duif daar piep rijn doos luik dan haak rug eer keur gedaa gras peur poul rijk zuur zeur teuf kip il zol rim bot pam leeg krijp ho wijs boog vee rouwhiktaal hees dak saus jouw heus rot oen das
4260104,kaart2A,klaar wensen riep stomp langs dat deraa draf klomt dram sneuw stroop krijt graag snikstnikt film schruw snuit vort tries krans inkt slak naast garit slerf troep blij plons mast klat ernst vloet stunt arm brief speel brul troost plus mist bolk del rund klei merk stoep trea dru druk sproet haast spels te ver zacht smoes bont zwaai grijs
4260104,kaart3A,opa rekening stralend fruitfruittilt morgenochtend aanzienlijk lichaamsdeel complex g lawaairig uittekperst stiefzus kijkcijfer minimaal tuinhek steddenhemel preiant kokkerv hellov verv wolgens opzettelijk nietmachine ondanks wijsvinger natuurtalent actie resfiets mili minidoul soepel botsing bea beroemd liniaal alfa beetisch export honderden populeerden furkeerd reattje hartelijk busmaatschappij
4260106,kaart1A,ijsbel den rek ried sant bal kal net buurbak lijn mineuk maal borveenke wolk ram den bascol dom nec mil bot c kizuen pindolgasmen oom sep duivrar pieprein dooslijk ram hak rug erker gasbelrijk zurteug kip ul zo rim bootpanlingrijp halwijs boogferal hi tal hesdak sa jal ha ous rot un tasbuik lan toldof takfisenoot leescats lro rs meneer gerk rar bijt gil
4260106,kaart2A,clarwens griet stomf langs straaf klont dar neus strop krijt graag streekt vilm schaal snuit voor rieskans één slak naast ginslurf teroep bla blij polsmast glat ergst vlodstunt armbrief spreel bua brul troost plus mes ballen twel rond kley merk stop druk sproet haspels twerg sacht smoestont swi grijs borsk orst flaw tart bo spns blik trots skluis bens m bomp vacht punt sak broek broek fons bloei gracht korst wan want
4260106,kaart3A,open al rekenen stralen en fruit teelt morgenochtend aanzienlijk lichaamsteel complex lawaaierenuitsterstifsus kijk cijfers minimaal tuinhek sterren hemel brewjant koker hengel vervolgens opzetterlijk litmachine ondanks wijsvele natuurtalen attattendeat reken fits resut nirel soepobsen bos zijn beroemd liniaal afstaanbeas export uh honderd populair vekeerd grietje hartelijk busba schapperij na neus hor erhaling winkelwagen kritis strafdigram reistvel ol toretv prima stedelok duenv helling art gastv
4260107,kaart1A,ijsboon dum hek fiets fiets hout paal kel net puur bak lijn min jeuk jeuk muil borveen koel v wok raam den bass coel g don nack mil boot c kier zon sun din bin dol gasment om zeep duif rare piep rijn doze lijk blea luik ram haakrug eer keur kuur gaspeel piel rijk zuur terug kip l zul rien bot pam leeg rijk hal wijs hoog v ral hik taal hees dak saus joul heus wod oen tas
4260107,kaart2A,klar wensri gi stomp lang sdraf klomt dram snik snu stroop krijt graag streket film schraauw snijdt vor vort triest kramsinkt slok naast grint sluf troe blij pools mast glat a ernst vot glot steunt uhm derief spreel bil brul droost pils mestv blo ov vil rondklein merk stot der te ruk
4260107,kaart3A,opa rekening stralend remtild moorgenochtend uhmginele lichaamsteel complex lagen wij lagenzijeh rig eijkerste stifsus kijkcijvers minimaal tuinhek sterren hemel goiant coker hengel vervolgens opzettenlijk nietmachine ondanks wijsvinger natuur talent atenti rossi fit miniral supel botsing berruept ruept
4260113,kaart1A,ispon dun rek reet zels pal kril net puurbak lijn min jek malk bor veen ven coe ul danden bas koek onmek mil brod c hier su bin dol gas ne oom cp dif rar pieprij doos luik ram haknug eer ur gas le el rij si te terug ki il ul rium boot parm leeg rijt hol bijs ulg rl tel
4260113,kaart2A,klaar wens griep stom langt draf klon drang sne droa stroop krijt graag sturik veelm schaal snijd vr vorst ftrist krans ingt slak naast grind slurf teroep lij plotmast glat ernst flot stee arm brief steel bul bie bril gtroust blus minst bak bok drol grot klein merk stop drug sproet haast spils tilerg
4260113,kaart3A,opa rekin rekin talens fludils mmorgen ogetend aanzienlijk lichaamsdeel complex lawayr uituierst s sif stifsus tijkzijvers minimaal tuinhek sterrenhemel bibriljant koker henne vervohels vervolgingopcettelijk niet machine ondanks wijsvinger naturale aha argtin
4260114,kaart1A,ijs bo de dum de werk riet zout bal karel mes puur ba lijn mink jek maldoor veen coul de hoek zaan bes bas coul dom nek nl bot ki jun ben dol gas mes hen on ze duif da i zen doslui l hak zeg er kuur gas bel rijk zuur tt i el zovien bot ban le die hij lijs bo wil lel o gik taal hens dak sous jo
4260114,kaart2A,klaar dens griep stom langs derap haf calons darm sneeuw stlok keijt gewa strikt film schewaal snuit vort stelit clans nit slang naast gewind sluur tru li bos mats gelat heuhterst velot stunt arm bedif sperel ber strsbels mest bak del zons gle merk stok druik sbrot hast spels
4260114,kaart3A,a wekenniks veelnlijd verduitilp morgen nohtend aanziende lichaamsdel con pulek lenorring eters s stifzus kijkenver mimiml tuinhek stergen hemel belejand koker hengel wer wogens of zitterleuk niet mag tener ondank rijsverzinen na tuurtanlent of ten elti rafie minro soup
4260115,kaart1A,ijsboom dun rek rit zout pal kra keul net puurbak lijn men jeug m ma mou dor bor veen cou work raam den basv coo don nek m<unk>l botv c kier zon pin dol gas men o oom ceep duif raar piepgrijn doos luik raam haak ruggen er keur gas bel rik zuur trug kip uls sol thev vie bot pan lees rijp hal wijs de boog v rouw hik tou hees dah sousv jou husv ot
4260115,kaart2A,klaar wens riep stomp langs draf klonk darn sneu stro kra kijt kraag strikfilm schaal snuitvorm bries kras ink vlak naast grind slurf toe blij pos mast glas erst flot stunt arnbrief schiel brul troost plus mistv bak deel rond klei merk stopdruks broed haast speels dwerg zacht smoes bond das wei grijnskorst flauw taart sponse blik trots cluiseminsponp zacht pont zwakke broek vonst bloei gegacht koats wans plooi ligt ergs trend
4260115,kaart3A,opa rekening stalent fruitteelt morgenochtend aanzienlijk lichaamsdeel complex laten we uituiderst stiefzes kikservers minia maul tuinhek saa staren heel briljant koker heemaal vervolgers ontzetelik niet machinen ondanks wijsvinger natuurtalent actie recfieds mineal supel botsingv berroemd indiouw afbex export honderd honderd pol pular vekererietje hartelijk bismaatschappen a neus gewoon herhaling
4410104,kaart1A,ijsboom dun rekt liet zoutpal kul net puur gebak lijn minjeuk mou bog boer veen koel woa wok ram den baas kool dom mek meel boutzij kiers zon pin doe gasmen omzee duif raag piep rijn doosluik uh ram haak rug eer klurgasbul rijk zuur treter kik l zo zo en geen bo bod pan n neven rijp hal wijs bog v rouw hik taal hees dak stous j jouw heus rot
